Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode longLarge,0,9.000,3000.000,2677.000,-10.800,51.440,57.390,130.000,495.000,2.677,0.020,0.059,0.022,2.737,2.618,2.727,2.645,-10.800,0.000,20.000,25.000,1.000
mode longLarge,0,9.000,3500.000,3162.000,-9.700,60.100,61.100,130.000,525.000,3.162,0.018,0.055,0.017,3.217,3.107,3.193,3.129,-9.700,0.000,20.000,25.000,1.000
mode dust,0,5.000,800.000,754.000,-5.700,11.000,13.900,130.000,747.000,0.754,0.025,0.076,0.101,0.831,0.678,0.813,0.689,-5.700,0.000,20.000,14.000,1.000
mode dust,0,5.000,1200.000,1063.000,-11.400,14.890,18.540,130.000,768.000,1.063,0.018,0.053,0.049,1.116,1.011,1.103,1.024,-11.400,0.000,20.000,14.000,1.000
mode dust,0,5.000,1800.000,1446.000,-19.600,19.880,22.310,130.000,771.000,1.446,0.022,0.066,0.046,1.513,1.380,1.485,1.408,-19.600,8.000,20.000,14.000,1.000
mode dust,0,5.000,2200.000,1873.000,-14.900,24.690,29.850,130.000,800.000,1.873,0.016,0.047,0.025,1.920,1.825,1.894,1.842,-14.900,0.000,20.000,14.000,1.000
mode dust,0,5.000,2800.000,2439.000,-12.900,27.530,31.820,130.000,925.000,2.439,0.024,0.073,0.030,2.512,2.366,2.484,2.393,-12.900,0.000,20.000,14.000,1.000
mode dust,0,5.000,3200.000,2788.000,-12.900,30.840,35.760,130.000,954.000,2.788,0.029,0.086,0.031,2.874,2.702,2.854,2.742,-12.900,0.000,20.000,14.000,1.000
mode dust,0,5.000,3300.000,2883.000,-12.600,31.910,37.200,130.000,960.000,2.883,0.028,0.085,0.029,2.968,2.798,2.926,2.821,-12.600,0.000,20.000,15.000,1.000
mode dust,0,5.000,3700.000,3299.000,-10.800,35.950,40.080,130.000,990.000,3.299,0.033,0.099,0.030,3.398,3.200,3.362,3.243,-10.800,0.000,20.000,14.000,1.000
mode highEnergy,0,5.000,800.000,746.000,-6.700,13.060,13.710,130.000,559.000,0.746,0.027,0.080,0.107,0.827,0.666,0.803,0.697,-6.700,0.000,20.000,14.000,1.000
mode highEnergy,0,5.000,1200.000,1153.000,-3.900,18.750,23.270,130.000,579.000,1.153,0.044,0.132,0.114,1.285,1.021,1.215,1.049,-3.900,0.000,20.000,14.000,0.000
mode highEnergy,0,5.000,1800.000,1472.000,-18.200,23.380,28.840,130.000,593.000,1.472,0.035,0.104,0.071,1.576,1.368,1.542,1.386,-18.200,2.000,20.000,13.000,1.000
mode highEnergy,0,5.000,2200.000,1792.000,-18.500,27.970,36.840,130.000,610.000,1.792,0.034,0.101,0.056,1.893,1.691,1.860,1.743,-18.500,4.000,20.000,14.000,1.000
mode highEnergy,0,5.000,2800.000,2448.000,-12.600,38.200,41.330,130.000,620.000,2.448,0.042,0.127,0.052,2.575,2.321,2.509,2.333,-12.600,0.000,20.000,15.000,1.000
mode highEnergy,0,5.000,3200.000,2848.000,-11.000,43.640,48.330,130.000,640.000,2.848,0.028,0.085,0.030,2.933,2.763,2.896,2.787,-11.000,0.000,20.000,14.000,1.000
mode highEnergy,0,5.000,3300.000,2995.000,-9.200,45.730,49.420,130.000,648.000,2.995,0.027,0.082,0.027,3.077,2.913,3.042,2.935,-9.200,0.000,20.000,15.000,1.000
mode highEnergy,0,5.000,3700.000,3385.000,-8.500,51.000,52.580,130.000,670.000,3.385,0.018,0.055,0.016,3.440,3.330,3.421,3.352,-8.500,0.000,20.000,14.000,1.000
