Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode longMedium,0,40.000,1000.000,984.000,-1.600,20.830,20.830,130.000,325.000,0.984,0.023,0.070,0.071,1.054,0.914,1.034,0.932,-1.600,0.000,100.000,159.000,0.000
mode longMedium,0,50.000,1000.000,980.000,-2.000,20.900,20.900,130.000,324.000,0.980,0.030,0.090,0.091,1.069,0.890,1.046,0.920,-2.000,0.000,100.000,196.000,0.000
mode longMedium,0,60.000,1000.000,985.000,-1.500,21.210,21.190,130.000,331.000,0.985,0.033,0.099,0.101,1.084,0.886,1.059,0.905,-1.500,0.000,100.000,215.000,0.000
mode longMedium,0,5.000,1200.000,1193.000,-0.600,24.810,24.800,130.000,447.000,1.193,0.066,0.197,0.165,1.390,0.996,1.381,1.034,-0.600,0.000,100.000,22.000,0.000
mode longMedium,0,6.000,1200.000,1179.000,-1.700,24.570,24.540,130.000,406.000,1.179,0.093,0.278,0.236,1.457,0.901,1.346,0.970,-1.700,0.000,100.000,26.000,0.000
mode longMedium,0,8.000,1200.000,1175.000,-2.100,24.380,24.410,130.000,355.000,1.175,0.022,0.067,0.057,1.242,1.108,1.232,1.113,-2.100,0.000,100.000,33.000,0.000
mode longMedium,1,5.000,1200.000,1197.000,-0.200,24.810,24.800,130.000,447.000,1.197,0.042,0.125,0.105,1.323,1.072,1.336,1.086,-0.200,0.000,100.000,22.000,0.000
mode longMedium,1,6.000,1200.000,1198.000,-0.100,24.530,24.540,130.000,406.000,1.198,0.062,0.186,0.155,1.384,1.013,1.351,1.036,-0.100,0.000,100.000,26.000,0.000
mode longMedium,1,8.000,1200.000,1179.000,-1.800,24.400,24.410,130.000,355.000,1.179,0.020,0.059,0.050,1.238,1.120,1.227,1.133,-1.800,0.000,100.000,34.000,0.000
mode longMedium,2,5.000,1200.000,1259.000,4.900,24.800,24.800,130.000,447.000,1.259,0.036,0.108,0.086,1.367,1.151,1.371,1.138,4.900,0.000,100.000,22.000,0.000
mode longMedium,2,6.000,1200.000,1238.000,3.200,24.560,24.540,130.000,406.000,1.238,0.038,0.115,0.093,1.354,1.123,1.324,1.121,3.200,0.000,100.000,26.000,0.000
mode longMedium,2,8.000,1200.000,1227.000,2.200,24.420,24.410,130.000,355.000,1.227,0.025,0.076,0.062,1.303,1.151,1.284,1.170,2.200,0.000,100.000,34.000,0.000
mode longMedium,3,5.000,1200.000,1266.000,5.500,24.790,24.800,130.000,447.000,1.266,0.025,0.075,0.059,1.341,1.191,1.334,1.220,5.500,0.000,100.000,22.000,1.000
mode longMedium,3,6.000,1200.000,1230.000,2.500,24.570,24.540,130.000,406.000,1.230,0.044,0.133,0.108,1.363,1.096,1.327,1.123,2.500,0.000,100.000,26.000,0.000
mode longMedium,3,8.000,1200.000,1217.000,1.400,24.420,24.410,130.000,355.000,1.217,0.012,0.037,0.030,1.254,1.180,1.250,1.185,1.400,0.000,100.000,34.000,0.000
mode longMedium,0,10.000,1200.000,1197.000,-0.300,24.830,24.830,130.000,447.000,1.197,0.072,0.216,0.181,1.413,0.981,1.431,0.950,-0.300,1.000,100.000,42.000,0.000
mode longMedium,3,10.000,1200.000,1254.000,4.500,24.840,24.830,130.000,447.000,1.254,0.035,0.105,0.084,1.359,1.149,1.331,1.163,4.500,0.000,100.000,42.000,0.000
mode longMedium,0,15.000,1200.000,1212.000,1.000,24.700,24.760,130.000,447.000,1.212,0.061,0.182,0.150,1.394,1.030,1.351,1.059,1.000,0.000,100.000,61.000,0.000
mode longMedium,3,15.000,1200.000,1238.000,3.100,24.790,24.760,130.000,447.000,1.238,0.039,0.117,0.095,1.355,1.120,1.327,1.121,3.100,0.000,100.000,60.000,0.000
mode longMedium,0,20.000,1200.000,1220.000,1.600,24.620,24.550,130.000,447.000,1.220,0.053,0.158,0.130,1.378,1.061,1.317,1.074,1.600,0.000,100.000,81.000,0.000
mode longMedium,0,25.000,1200.000,1198.000,-0.200,24.780,24.710,130.000,397.000,1.198,0.050,0.149,0.125,1.347,1.049,1.334,1.066,-0.200,0.000,100.000,98.000,0.000
mode longMedium,0,30.000,1200.000,1190.000,-0.900,24.710,24.700,130.000,364.000,1.190,0.027,0.080,0.067,1.270,1.110,1.262,1.126,-0.900,0.000,100.000,122.000,0.000
mode longMedium,0,35.000,1200.000,1190.000,-0.800,24.570,24.610,130.000,345.000,1.190,0.027,0.081,0.068,1.271,1.108,1.247,1.138,-0.800,0.000,100.000,137.000,0.000
mode longMedium,0,40.000,1200.000,1181.000,-1.600,24.580,24.600,130.000,336.000,1.181,0.027,0.082,0.069,1.263,1.099,1.262,1.131,-1.600,0.000,100.000,158.000,0.000
mode longMedium,0,50.000,1200.000,1171.000,-2.400,24.610,24.630,130.000,339.000,1.171,0.036,0.107,0.091,1.278,1.065,1.240,1.101,-2.400,0.000,100.000,197.000,0.000
mode longMedium,0,60.000,1200.000,1190.000,-0.900,25.090,24.920,130.000,348.000,1.190,0.044,0.132,0.111,1.322,1.058,1.265,1.076,-0.900,0.000,100.000,230.000,0.000
mode longMedium,0,5.000,1500.000,1490.000,-0.700,29.880,29.840,130.000,459.000,1.490,0.092,0.276,0.185,1.765,1.214,1.669,1.267,-0.700,0.000,100.000,22.000,0.000
mode longMedium,0,6.000,1500.000,1458.000,-2.800,29.810,29.880,130.000,416.000,1.458,0.061,0.184,0.126,1.642,1.274,1.587,1.302,-2.800,0.000,100.000,26.000,0.000
mode longMedium,0,8.000,1500.000,1483.000,-1.100,29.830,29.850,130.000,367.000,1.483,0.015,0.045,0.030,1.528,1.438,1.520,1.443,-1.100,0.000,100.000,34.000,0.000
mode longMedium,1,5.000,1500.000,1482.000,-1.200,29.850,29.840,130.000,459.000,1.482,0.050,0.151,0.102,1.633,1.331,1.624,1.361,-1.200,0.000,100.000,22.000,0.000
mode longMedium,1,6.000,1500.000,1480.000,-1.300,29.890,29.880,130.000,416.000,1.480,0.030,0.089,0.060,1.570,1.391,1.567,1.391,-1.300,0.000,100.000,26.000,0.000
mode longMedium,1,8.000,1500.000,1468.000,-2.100,29.850,29.850,130.000,367.000,1.468,0.023,0.070,0.048,1.538,1.398,1.515,1.408,-2.100,0.000,100.000,34.000,0.000
mode longMedium,2,5.000,1500.000,1540.000,2.700,29.830,29.840,130.000,459.000,1.540,0.036,0.108,0.070,1.648,1.432,1.629,1.423,2.700,0.000,100.000,22.000,0.000
mode longMedium,2,6.000,1500.000,1516.000,1.100,29.870,29.880,130.000,416.000,1.516,0.032,0.096,0.063,1.612,1.420,1.584,1.433,1.100,0.000,100.000,26.000,0.000
mode longMedium,2,8.000,1500.000,1538.000,2.500,29.820,29.850,130.000,367.000,1.538,0.024,0.072,0.046,1.609,1.466,1.622,1.490,2.500,0.000,100.000,34.000,0.000
mode longMedium,3,5.000,1500.000,1569.000,4.600,29.860,29.840,130.000,459.000,1.569,0.052,0.155,0.099,1.724,1.413,1.711,1.443,4.600,0.000,100.000,22.000,0.000
mode longMedium,3,6.000,1500.000,1512.000,0.800,29.880,29.880,130.000,416.000,1.512,0.030,0.090,0.059,1.602,1.422,1.612,1.436,0.800,0.000,100.000,26.000,0.000
mode longMedium,3,8.000,1500.000,1520.000,1.300,29.850,29.850,130.000,367.000,1.520,0.014,0.041,0.027,1.561,1.480,1.560,1.493,1.300,0.000,100.000,34.000,0.000
mode longMedium,0,10.000,1500.000,1479.000,-1.400,29.840,29.860,130.000,459.000,1.479,0.068,0.204,0.138,1.683,1.276,1.656,1.269,-1.400,0.000,100.000,42.000,0.000
mode longMedium,3,10.000,1500.000,1549.000,3.300,29.870,29.860,130.000,459.000,1.549,0.042,0.127,0.082,1.676,1.422,1.669,1.433,3.300,0.000,100.000,42.000,0.000
mode longMedium,0,15.000,1500.000,1502.000,0.100,29.790,29.800,130.000,459.000,1.502,0.062,0.187,0.124,1.689,1.315,1.617,1.269,0.100,0.000,100.000,62.000,0.000
mode longMedium,3,15.000,1500.000,1527.000,1.800,29.840,29.800,130.000,459.000,1.527,0.055,0.165,0.108,1.692,1.363,1.659,1.396,1.800,0.000,100.000,61.000,0.000
mode longMedium,0,20.000,1500.000,1506.000,0.400,29.870,29.860,130.000,459.000,1.506,0.070,0.211,0.140,1.717,1.295,1.661,1.284,0.400,0.000,100.000,81.000,0.000
mode longMedium,0,25.000,1500.000,1482.000,-1.200,30.120,30.140,130.000,408.000,1.482,0.034,0.102,0.069,1.584,1.380,1.542,1.371,-1.200,0.000,100.000,100.000,0.000
mode longMedium,0,30.000,1500.000,1482.000,-1.200,29.980,29.970,130.000,376.000,1.482,0.039,0.118,0.079,1.600,1.364,1.569,1.369,-1.200,0.000,100.000,122.000,0.000
mode longMedium,0,35.000,1500.000,1486.000,-0.900,30.120,30.090,130.000,359.000,1.486,0.039,0.117,0.079,1.604,1.369,1.587,1.403,-0.900,0.000,100.000,137.000,0.000
mode longMedium,0,40.000,1500.000,1477.000,-1.500,30.190,30.180,130.000,353.000,1.477,0.037,0.110,0.074,1.587,1.368,1.552,1.384,-1.500,0.000,100.000,158.000,0.000
mode longMedium,0,50.000,1500.000,1486.000,-1.000,30.510,30.520,130.000,361.000,1.486,0.044,0.133,0.090,1.619,1.352,1.564,1.384,-1.000,0.000,100.000,197.000,0.000
mode longMedium,0,5.000,1800.000,1777.000,-1.300,35.040,35.050,130.000,468.000,1.777,0.098,0.294,0.165,2.071,1.483,1.996,1.493,-1.300,0.000,100.000,22.000,0.000
mode longMedium,0,6.000,1800.000,1733.000,-3.700,34.800,34.810,130.000,426.000,1.733,0.054,0.163,0.094,1.896,1.570,1.842,1.582,-3.700,0.000,100.000,25.000,0.000
mode longMedium,0,8.000,1800.000,1754.000,-2.600,35.010,35.040,130.000,380.000,1.754,0.020,0.059,0.034,1.813,1.695,1.800,1.708,-2.600,0.000,100.000,34.000,0.000
mode longMedium,1,5.000,1800.000,1776.000,-1.300,35.070,35.050,130.000,468.000,1.776,0.056,0.169,0.095,1.945,1.607,1.919,1.679,-1.300,0.000,100.000,22.000,0.000
mode longMedium,1,6.000,1800.000,1763.000,-2.000,34.810,34.810,130.000,426.000,1.763,0.022,0.066,0.037,1.829,1.698,1.825,1.718,-2.000,0.000,100.000,25.000,0.000
